population,generations_ago,Ne
Yoruba_MSMC2_within,0.0,209444.91860446855
Yoruba_MSMC2_within,69.80536,209444.91860446855
Yoruba_MSMC2_within,158.8328,209444.91860446855
Yoruba_MSMC2_within,272.3768,55416.045660604985
Yoruba_MSMC2_within,417.1872,26349.419654032117
Yoruba_MSMC2_within,601.8752000000001,18946.57067070861
Yoruba_MSMC2_within,837.4240000000001,18007.764948245687
Yoruba_MSMC2_within,1137.832,16344.168972556503
Yoruba_MSMC2_within,1520.96,13588.812059255373
Yoruba_MSMC2_within,2009.6000000000001,12307.427224644394
Yoruba_MSMC2_within,2632.7920000000004,12988.256992146979
Yoruba_MSMC2_within,3427.6000000000004,15832.899577855313
Yoruba_MSMC2_within,4441.272,20891.874105566632
Yoruba_MSMC2_within,5734.088000000001,26708.884510115655
Yoruba_MSMC2_within,7382.904,31004.45921634679
Yoruba_MSMC2_within,9485.76,33129.696134427046
Yoruba_MSMC2_within,12167.68,31312.74781104324
Yoruba_MSMC2_within,15588.16,25951.023930087937
Yoruba_MSMC2_within,19950.559999999998,21076.992144605025
Yoruba_MSMC2_within,25514.16,17661.22936285349
Yoruba_MSMC2_within,32609.920000000002,15649.299204819983
Yoruba_MSMC2_within,41659.6,15085.959798934331
Yoruba_MSMC2_within,53201.280000000006,15413.628576250836
Yoruba_MSMC2_within,67921.36,16654.78625247324
Yoruba_MSMC2_within,86695.2,20062.705987564143
Yoruba_MSMC2_within,110638.40000000001,29538.51970662341
Yoruba_MSMC2_within,141174.4,37960.424359583914
Yoruba_MSMC2_within,180120.0,30915.962684433045
Yoruba_MSMC2_within,229790.4,23408.787658887148
Yoruba_MSMC2_within,293137.60000000003,63598.222048104406
Yoruba_MSMC2_within,373930.4,240714.44045928319
Yoruba_MSMC2_within,476970.4,240714.44045928319
French_MSMC2_within,0.0,38843.24807240383
French_MSMC2_within,69.80536,38843.24807240383
French_MSMC2_within,158.8328,38843.24807240383
French_MSMC2_within,272.3768,64543.299679381154
French_MSMC2_within,417.1872,31012.661073946743
French_MSMC2_within,601.8752000000001,16198.188070682414
French_MSMC2_within,837.4240000000001,8127.487773210582
French_MSMC2_within,1137.832,4415.738220907901
French_MSMC2_within,1520.96,3308.700061376386
French_MSMC2_within,2009.6000000000001,3372.413990796682
French_MSMC2_within,2632.7920000000004,4261.546447020882
French_MSMC2_within,3427.6000000000004,6566.821430230725
French_MSMC2_within,4441.272,11392.759104096214
French_MSMC2_within,5734.088000000001,19014.64222524555
French_MSMC2_within,7382.904,25512.026369230458
French_MSMC2_within,9485.76,29931.785460934538
French_MSMC2_within,12167.68,29643.96852699862
French_MSMC2_within,15588.16,26294.027706016997
French_MSMC2_within,19950.559999999998,21855.53491421702
French_MSMC2_within,25514.16,18226.904916616466
French_MSMC2_within,32609.920000000002,15998.931271391075
French_MSMC2_within,41659.6,15097.473060446506
French_MSMC2_within,53201.280000000006,15471.248425316991
French_MSMC2_within,67921.36,16814.734415473595
French_MSMC2_within,86695.2,21127.64584149829
French_MSMC2_within,110638.40000000001,29242.331198643158
French_MSMC2_within,141174.4,35940.130929896986
French_MSMC2_within,180120.0,36903.432941849416
French_MSMC2_within,229790.4,37243.73979288756
French_MSMC2_within,293137.60000000003,37329.79944565248
French_MSMC2_within,373930.4,37329.79944565248
French_MSMC2_within,476970.4,37329.79944565248
