population,generations_ago,Ne
Yoruba_MSMC_IM_N1,0.0,198574.94595123047
Yoruba_MSMC_IM_N1,69.80536,198574.94595123047
Yoruba_MSMC_IM_N1,158.8328,198574.90056850316
Yoruba_MSMC_IM_N1,272.3768,57003.32828207908
Yoruba_MSMC_IM_N1,417.1872,26649.753206298024
Yoruba_MSMC_IM_N1,601.8752000000001,18732.711525918832
Yoruba_MSMC_IM_N1,837.4240000000001,17797.08710423748
Yoruba_MSMC_IM_N1,1137.832,16349.395297212834
Yoruba_MSMC_IM_N1,1520.96,13978.407265677642
Yoruba_MSMC_IM_N1,2009.6,13804.960704245012
Yoruba_MSMC_IM_N1,2632.7920000000004,17535.56765099968
Yoruba_MSMC_IM_N1,3427.6000000000004,22855.77557992314
Yoruba_MSMC_IM_N1,4441.272,26206.63985192796
Yoruba_MSMC_IM_N1,5734.088000000001,29027.490657091595
Yoruba_MSMC_IM_N1,7382.904,29936.20939177322
Yoruba_MSMC_IM_N1,9485.76,32610.35917351825
Yoruba_MSMC_IM_N1,12167.68,32231.549859861585
Yoruba_MSMC_IM_N1,15588.16,26391.62521871319
Yoruba_MSMC_IM_N1,19950.56,19420.371752680745
Yoruba_MSMC_IM_N1,25514.16,14016.583127199205
Yoruba_MSMC_IM_N1,32609.92,11436.032036641536
Yoruba_MSMC_IM_N1,41659.6,9847.436288719931
Yoruba_MSMC_IM_N1,53201.280000000006,10835.708372534127
Yoruba_MSMC_IM_N1,67921.36,12443.627732811896
Yoruba_MSMC_IM_N1,86695.2,11629.743477192704
Yoruba_MSMC_IM_N1,110638.4,29999.99998568489
Yoruba_MSMC_IM_N1,141174.4,30000.000000000004
Yoruba_MSMC_IM_N1,180120.0,30000.000000000004
Yoruba_MSMC_IM_N1,229790.4,30000.000000000004
Yoruba_MSMC_IM_N1,293137.60000000003,30000.000000000004
Yoruba_MSMC_IM_N1,373930.4,30000.000000000004
Yoruba_MSMC_IM_N1,476970.4,30000.000000000004
French_MSMC_IM_N2,0.0,39273.17391589546
French_MSMC_IM_N2,69.80536,39273.17391589546
French_MSMC_IM_N2,158.8328,39280.95336044461
French_MSMC_IM_N2,272.3768,62637.81824920013
French_MSMC_IM_N2,417.1872,30539.007130749866
French_MSMC_IM_N2,601.8752000000001,16312.99646743422
French_MSMC_IM_N2,837.4240000000001,8074.199326623179
French_MSMC_IM_N2,1137.832,4342.06169150592
French_MSMC_IM_N2,1520.96,3190.7957553932156
French_MSMC_IM_N2,2009.6,3035.8634407792492
French_MSMC_IM_N2,2632.7920000000004,3410.5337624860103
French_MSMC_IM_N2,3427.6000000000004,4871.542135856621
French_MSMC_IM_N2,4441.272,8460.256733075345
French_MSMC_IM_N2,5734.088000000001,15079.168496050675
French_MSMC_IM_N2,7382.904,23098.00667009604
French_MSMC_IM_N2,9485.76,32610.359173639263
French_MSMC_IM_N2,12167.68,32231.54985976265
French_MSMC_IM_N2,15588.16,26391.625218759375
French_MSMC_IM_N2,19950.56,19420.371752573148
French_MSMC_IM_N2,25514.16,14016.583128687089
French_MSMC_IM_N2,32609.92,11436.033670802704
French_MSMC_IM_N2,41659.6,9847.436288155588
French_MSMC_IM_N2,53201.280000000006,10835.708372456807
French_MSMC_IM_N2,67921.36,12443.627732786344
French_MSMC_IM_N2,86695.2,11629.743477252716
French_MSMC_IM_N2,110638.4,29999.99998568138
French_MSMC_IM_N2,141174.4,30000.000000000004
French_MSMC_IM_N2,180120.0,30000.000000000004
French_MSMC_IM_N2,229790.4,30000.000000000004
French_MSMC_IM_N2,293137.60000000003,30000.000000000004
French_MSMC_IM_N2,373930.4,30000.000000000004
French_MSMC_IM_N2,476970.4,30000.000000000004
