population,generations_ago,Ne
Africa,100.0,59836.19266209775
Africa,100.92621909870472,59669.76162720628
Africa,101.86101701559753,59544.89358877226
Africa,102.80447320933098,59042.13482760856
Africa,103.7566678745186,58957.72632935187
Africa,104.71768194855204,58900.38802373373
Africa,105.6875971184804,58486.7268106449
Africa,106.66649582795388,58386.8452685759
Africa,107.6544612842316,58386.8452685759
Africa,108.65157746525384,58386.8452685759
Africa,109.657929126781,58064.79205884536
Africa,110.67360180959734,58106.853822713
Africa,111.69868184678226,58064.79205884536
Africa,112.73325637104872,57515.0221860777
Africa,113.77741332214914,57154.04700387905
Africa,114.83124145435112,57032.943871063275
Africa,115.89483034398106,56392.77946923554
Africa,116.96827039703848,56265.99696646061
Africa,118.05165285688057,55998.92684479976
Africa,119.1450698119776,56212.885116801066
Africa,120.24861420374124,56212.885116801066
Africa,121.36237983442405,55926.18659304286
Africa,122.48646137509309,55536.53529484017
Africa,123.62095437367692,55357.712379073535
Africa,124.76595526308698,55536.53529484017
Africa,125.92156136941507,55176.744020566424
Africa,127.08787092020582,55130.19884299039
Africa,128.26498305280597,54961.93926611004
Africa,129.45299782279162,54666.60675615216
Africa,130.65201621247212,54597.3855181119
Africa,131.86214013947486,54196.27334530403
Africa,133.08347246540748,53971.021555155035
Africa,134.31611700460152,53971.021555155035
Africa,135.5601785329369,53839.25714361864
Africa,136.81576279674718,53522.92062280226
Africa,138.08297652180923,53349.5501271055
Africa,139.3619274224142,52816.86965833386
Africa,140.65272421052364,52664.41247916591
Africa,141.95547660501015,52664.41247916591
Africa,143.2702953409831,52497.84453400656
Africa,144.59729217920196,52410.14938382205
Africa,145.9365799155756,52333.04001702578
Africa,147.28827239075017,52309.54316833486
Africa,148.65248449978571,52309.54316833486
Africa,150.02933220192182,52220.854594593315
Africa,151.4189325304352,51938.29245535086
Africa,152.82140360258694,51586.864048359486
Africa,154.2368646296629,50741.10448469981
Africa,155.66543592710622,50741.10448469981
Africa,157.10723892474505,50347.633335603205
Africa,158.56239617711373,50000.44265662987
Africa,160.03103137387,49978.862634339814
Africa,161.51326935030912,49634.90689608848
Africa,163.0092360979741,49634.90689608848
Africa,164.51905877536623,49456.68140104297
Africa,166.04286571875295,49074.70852728281
Africa,167.5807864530767,48615.30099690691
Africa,169.13295170296487,48615.30099690691
Africa,170.6994934038408,48615.30099690691
Africa,172.2805447131394,48557.07877223547
Africa,173.87624002162505,48499.713957479624
Africa,175.48671496481504,47760.479106057566
Africa,177.11210643450886,47227.34038646023
Africa,178.75255259042353,47014.66784332746
Africa,180.40819287193827,46711.330047885785
Africa,182.07916800994624,46061.780455982465
Africa,183.76562003881705,45742.96604554529
Africa,185.4676923084699,45198.69862197621
Africa,187.18552949655793,44748.816568009766
Africa,188.91927762076665,44041.557643187574
Africa,190.6690840512252,43504.464164241675
Africa,192.43509752303305,43148.879281550835
Africa,194.21746814890264,42668.92039818441
Africa,196.01634743191855,42503.15857582314
Africa,197.8318882784164,42335.49311763132
Africa,199.66424501097933,42025.18903735338
Africa,201.51357338155583,41755.01897736866
Africa,203.3800305846982,41605.35708059894
Africa,205.2637752709252,41151.76963641645
Africa,207.1649675602069,41051.70939597709
Africa,209.083769055575,40694.31008685558
Africa,211.02034285685968,40384.1704427987
Africa,212.9748535745521,39995.974129924805
Africa,214.94746734379805,39885.22667737467
Africa,216.93835183851843,39492.93367874769
Africa,218.94767628566208,39244.96604963041
Africa,220.97561147959033,38788.49289005243
Africa,223.02232979659385,38757.31225557264
Africa,225.08800520954617,38609.08296538931
Africa,227.1728133026905,38304.780406591424
Africa,229.2769312865649,38069.00052346859
Africa,231.4005380130654,37395.28880421442
Africa,233.54381399064792,37021.4502069193
Africa,235.7069413996728,36673.83586568391
Africa,237.89010410788933,36309.55275343557
Africa,240.09348768606517,36145.432955742624
Africa,242.31727942376008,35985.61606689378
Africa,244.56166834524467,35808.49722789053
Africa,246.8268452255693,35677.627451475746
Africa,249.11300260677885,35304.206744633666
Africa,251.42033481427967,34701.527207099294
Africa,253.74903797335716,34411.12611392992
Africa,256.0993100258459,33845.73812641354
Africa,258.4713507469564,33714.85351413772
Africa,260.8653617622548,32907.54579547581
Africa,263.281546564802,32338.102310295915
Africa,265.7201105324507,32244.277296562133
Africa,268.1812609453016,31950.36179875677
Africa,270.66520700332416,31810.359264066552
Africa,273.17215984413764,31524.3132855887
Africa,275.70233256095827,31247.42278682176
Africa,278.2559402207126,31139.81197773466
Africa,280.8331998823173,30831.957575516775
Africa,283.43433061513093,30494.1309770932
Africa,286.0595535175742,30331.28500194731
Africa,288.70909173592344,30210.082031952676
Africa,291.38317048327883,29940.307202742504
Africa,294.08201705870636,29659.94487825664
Africa,296.80586086656024,29396.94460239961
Africa,299.5549334359813,29107.70087981492
Africa,302.3294684405776,28873.208394282185
Africa,305.1297017182871,28790.21351012581
Africa,307.9558712914226,28705.053206770557
Africa,310.8082173869064,28387.653695141264
Africa,313.68698245668764,28262.488883511316
Africa,316.59241119835207,28049.29794936666
Africa,319.52475057592136,27986.782405886777
Africa,322.4842498408442,27814.580363036686
Africa,325.4711605531848,27665.54924627639
Africa,328.48573660300434,27425.284704954654
Africa,331.52823423194235,27214.963568970117
Africa,334.59891205499747,27107.34842226187
Africa,337.69803108250915,27064.365406012592
Africa,340.8258547423452,26929.61514129024
Africa,343.98264890229245,26814.53835967784
Africa,347.16868189265597,26756.999776089477
Africa,350.3842245290676,26743.231162868786
Africa,353.6295501355043,26496.93227083121
Africa,356.90493456752296,26388.825508473157
Africa,360.210656235707,26291.501972661405
Africa,363.5469961293318,26125.86734892755
Africa,366.91423784024937,26125.86734892755
Africa,370.3126675869927,26032.629841352697
Africa,373.7425742391064,25897.170608487337
Africa,377.2042493416997,25712.40390259909
Africa,380.6979871402284,25653.872741261956
Africa,384.2240846055061,25627.804945178905
Africa,387.7828414589457,25507.86933963201
Africa,391.3745601980384,25363.818064011783
Africa,394.9995461220643,25281.36204860261
Africa,398.6581073580439,25210.171753555303
Africa,402.3505548869294,25139.635929376804
Africa,406.07720257003655,24989.891978320535
Africa,409.83836717572615,24945.760440228303
Africa,413.6343684063273,24899.022500257477
Africa,417.4655289253135,24722.124917194207
Africa,421.3321743847289,24553.394577803498
Africa,425.2346334528682,24489.939812724784
Africa,429.17323784221577,24367.511635194896
Africa,433.14832233763985,24204.40126963711
Africa,437.1602248248502,24182.01758954121
Africa,441.209286319119,24124.04122435177
Africa,445.2958509942655,24018.04028458673
Africa,449.4202662119142,23835.709852755164
Africa,453.58288255101866,23835.709852755164
Africa,457.7840538376617,23772.706741469912
Africa,462.0241371751313,23653.35788976009
Africa,466.3034929742731,23528.577152030397
Africa,470.62248498412816,23351.326996441476
